,region,city,area,rooms,toilets,price,year,month
87,abruzzo, Pescara,41m²,2,1,€ 88.000,2023,7
88,abruzzo, Torino di Sangro,60m²,3,1,"da € 46.953,00",2023,7
89,abruzzo, Pescara,129m²,4,2,"€ 275.000€ 295.000(-6,8%)",2023,7
90,abruzzo, Chieti,220m²,4,1,€ 225.000,2023,7
91,abruzzo, Pescara,120m²,4,2,€ 179.000,2023,7
92,abruzzo, Montesilvano,115m²,5,2,€ 278.000,2023,7
93,abruzzo, Pescara,99m²,4,1,€ 195.000,2023,7
94,abruzzo, L'Aquila,140m²,4,2,€ 269.000,2023,7
95,abruzzo, Pescara,164m²,5,2,€ 230.000,2023,7
96,abruzzo, Pescara,100m²,3,1,€ 123.000,2023,7
97,abruzzo, Pianella,164m²,5,3,€ 199.000,2023,7
98,abruzzo, Giulianova,59m²,3,1,€ 190.000,2023,7
99,abruzzo, Pescara,124m²,4,2,€ 293.800,2023,7
100,abruzzo, Colonnella,180m²,5,3,€ 265.000,2023,7
101,abruzzo, Martinsicuro,60m²,3,1,€ 118.000,2023,7
102,abruzzo, Città Sant'Angelo,260m²,5+,2,€ 160.000,2023,7
103,abruzzo, Pescara,115m²,4,2,€ 144.000,2023,7
104,abruzzo, Giulianova,78m²,3,2,€ 230.000,2023,7
105,abruzzo, Pescara,70m²,3,1,€ 153.300,2023,7
106,abruzzo, Pescara,130m²,5,1,€ 230.000,2023,7
107,abruzzo, Pescara,122m²,5,2,€ 239.000,2023,7
108,abruzzo, Pescara,90m²,3,1,€ 210.000,2023,7
109,abruzzo, Pescara,190m²,5,3,€ 420.000,2023,7
110,abruzzo, Alba Adriatica,70m²,3,2,€ 115.000,2023,7
111,abruzzo, Giulianova,300m²,5+,3+,Prezzo su richiesta,2023,7
112,abruzzo, L'Aquila,110m²,4,1,€ 160.000,2023,7
113,abruzzo, Pescara,177m²,5,3,€ 700.000,2023,7
114,abruzzo, Castel di Sangro,55m²,3,1,€ 75.000,2023,7
115,abruzzo, Teramo,145m²,4,2,€ 129.000,2023,7
116,abruzzo, Francavilla al Mare,340m²,5+,2,€ 320.000,2023,7
117,abruzzo, Pescara,102m²,3,2,€ 218.000,2023,7
118,abruzzo, Pescara,115m²,4,2,€ 229.000,2023,7
119,abruzzo, San Giovanni Teatino,105m²,4,2,€ 245.000,2023,7
120,abruzzo, Sant'Omero,300m²,5+,3,€ 389.000,2023,7
121,abruzzo, Pescara,160m²,4,2,€ 710.000,2023,7
122,abruzzo, Francavilla al Mare,101m²,3,2,€ 169.000,2023,7
123,abruzzo, Martinsicuro,766m²,5+,3,€ 1.700.000,2023,7
124,abruzzo, Rosciano,125m²,4,2,€ 140.000,2023,7
125,abruzzo, Pescara,86m²,3,1,€ 75.000,2023,7
126,abruzzo, San Giovanni Teatino,93m²,4,2,€ 139.000,2023,7
127,abruzzo, Pescara,240m²,5,3,€ 630.000,2023,7
128,abruzzo, Pescara,93m²,3,1,€ 210.000,2023,7
129,abruzzo, San Giovanni Teatino,85m²,3,2,€ 163.000,2023,7
130,abruzzo, L'Aquila,140m²,5,2,€ 185.000,2023,7
131,abruzzo, Pescara,109m²,3,2,€ 338.000,2023,7
132,abruzzo, San Salvo,111m²,4,1,€ 105.000,2023,7
133,abruzzo, Pescara,136m²,5,2,Prezzo su richiesta,2023,7
134,abruzzo, Rivisondoli,85m²,3,2,€ 282.500,2023,7
135,abruzzo, Pescara,120m²,4,2,€ 380.000,2023,7
136,abruzzo, Pescara,205m²,4,2,Prezzo su richiesta,2023,7
137,abruzzo, Pescara,150m²,5,2,Prezzo su richiesta,2023,7
138,abruzzo,Appartamenti di nuova costruzione a Pescara,147m²,4,1,da € 403.000,2023,7
139,abruzzo, Pescara,135m²,5,2,Prezzo su richiesta,2023,7
140,abruzzo, Massa d'Albe,816m²,5+,3+,€ 413.000,2023,7
141,abruzzo, Pescara,367m²,5+,3+,Prezzo su richiesta,2023,7
142,abruzzo, Pescara,145m²,5,2,€ 425.000,2023,7
143,abruzzo, Ovindoli,35m²,2,1,€ 50.000,2023,7
144,abruzzo, Giulianova,90m²,3,1,€ 145.000,2023,7
145,abruzzo, Montesilvano,188m²,5+,3+,€ 350.000,2023,7
146,abruzzo, Roccaraso,40m²,3,1,€ 125.000,2023,7
147,abruzzo, Nereto,2.261m²,,1,"da € 401.533,20",2023,7
148,abruzzo, Chieti,66.096m²,5+,3+,Prezzo su richiesta,2023,7
149,abruzzo, Città Sant'Angelo,100m²,3,2,€ 55.000,2023,7
150,abruzzo, Sant'Egidio alla Vibrata,197m²,5+,1,"da € 25.088,00",2023,7
151,abruzzo, Teramo,97m²,3,2,Prezzo su richiesta,2023,7
152,abruzzo, Martinsicuro,200m²,5+,2,€ 165.000,2023,7
153,abruzzo, Vasto,64m²,2,1,Prezzo su richiesta,2023,7
154,abruzzo, Teramo,155m²,,2,€ 320.000,2023,7
155,abruzzo, Francavilla al Mare,136m²,5,1,€ 99.225,2023,7
156,abruzzo, Bucchianico,296m²,5+,1,€ 42.312,2023,7
157,abruzzo, Alba Adriatica,47m²,3,2,Prezzo su richiesta,2023,7
158,abruzzo, Campo di Giove,42m²,3,1,€ 16.045,2023,7
159,abruzzo, Campo di Giove,36m²,3,1,€ 13.694,2023,7
160,abruzzo, Martinsicuro,75m²,3,1,€ 95.000,2023,7
161,abruzzo, Chieti,121m²,3,1,"da € 50.178,00",2023,7
162,abruzzo, Campo di Giove,45m²,3,1,€ 12.703,2023,7
163,abruzzo, Torrevecchia Teatina,167m²,4,1,"€ 42.610€ 56.813(-25,0%)",2023,7
164,abruzzo, Chieti,250m²,5,1,"da € 141.750,00",2023,7
165,abruzzo, Francavilla al Mare,148m²,4,1,€ 109.182,2023,7
166,abruzzo, Avezzano,145m²,4,2,€ 60.000,2023,7
167,abruzzo, Pescara,270m²,5+,3+,Prezzo su richiesta,2023,7
168,abruzzo, Chieti,398m²,5,3,€ 500.000,2023,7
169,abruzzo, Casalbordino,210m²,5,2,€ 229.000,2023,7
170,abruzzo, Atri,171m²,5+,2,€ 140.000,2023,7
171,abruzzo, Cappelle sul Tavo,173m²,4,3,€ 174.000,2023,7
172,abruzzo, Teramo,80m²,2,1,"da € 61.875,00",2023,7
173,abruzzo, Castel di Sangro,65m²,3,2,€ 150.000,2023,7
174,abruzzo, Pineto,45m²,2,1,€ 50.000,2023,7
175,abruzzo, L'Aquila,120m²,3,2,€ 265.000,2023,7
176,abruzzo, Morro d'Oro,115m²,4,2,€ 200.000,2023,7
177,abruzzo,Appartamenti di nuova costruzione a Montesilvano,85m²,2 - 4,1,"da € 145.000Prezzo diminuito(-9,4%)",2023,7
178,abruzzo, Pescara,120m²,4,2,€ 265.000,2023,7
179,abruzzo, Pescara,113m²,4,2,€ 99.000,2023,7
180,abruzzo, Pescara,96m²,3,1,"€ 205.000€ 220.000(-6,8%)",2023,7
181,abruzzo, Bellante,101m²,4,1,€ 60.000,2023,7
182,abruzzo, Pescara,54m²,2,1,€ 155.000,2023,7
183,abruzzo, L'Aquila,180m²,5+,3,€ 530.000,2023,7
184,abruzzo, Silvi,65m²,3,1,€ 99.000,2023,7
185,abruzzo, Montesilvano,77m²,3,1,€ 155.000,2023,7
186,abruzzo, Silvi,124m²,5,3,€ 80.000,2023,7
187,abruzzo, Silvi,95m²,3,1,€ 139.000,2023,7
188,abruzzo, Avezzano,106m²,4,2,€ 110.000,2023,7
189,abruzzo, Avezzano,55m²,3,1,€ 105.000,2023,7
190,abruzzo, Pescara,110m²,4,2,€ 270.000,2023,7
191,abruzzo, Pescara,114m²,4,2,€ 178.000,2023,7
192,abruzzo, Avezzano,285m²,5+,3+,€ 619.000,2023,7
193,abruzzo, Bellante,291m²,4,1,€ 105.000,2023,7
194,abruzzo, Teramo,150m²,4,3,€ 185.000,2023,7
195,abruzzo, Montesilvano,70m²,2,1,€ 115.000,2023,7
196,abruzzo, Pescara,60m²,2,1,€ 162.000,2023,7
197,abruzzo, Pescara,115m²,5,1,€ 245.000,2023,7
198,abruzzo, Pescara,85m²,3,1,€ 110.000,2023,7
199,abruzzo, Avezzano,85m²,3,2,€ 82.000,2023,7
200,abruzzo, Avezzano,80m²,5,2,€ 87.000,2023,7
